ADD
ADVANCE
APPEAR
AGREE
ANSWER
ABSORB
ARISE
ARRIVE
ASK
ASSIGN
ASSIST
ATTACH
ATTEND
AWAKE
AWARD
BAKE
BATHE
BE
BEAR
BEAT
BECOME
BEGIN
BELIEVE
BELONG
BEND
BET
BID
BIND
BITE
BLEED
BLOW
BLUSH
BOIL
BORROW
BOTHER
BREAK
BREED
BROADCAST
BROWN
BRUSH
BUILD
BURN
BURST
BUY
CALL
CAMP
CANCEL
CARE
CARRY
CATCH
CELEBRATE
CHANGE
CHARGE
CHECK
CHEW
CHILL
CHOOSE
CIRCLE
CLAP
CLEAN
CLIMB
CLING
CLOSE
COLLECT
COME
COMMENT
COMPLAIN
COMPLETE
CONTINUE
CONVINCE
COOK
COOL
COPY
COST
COUNT
COVER
CROSS
CRY
CUT
DANCE
DEAL
DECIDE
DECLARE
DECORATE
DEMONSTRATE
DEPEND
DESCRIBE
DESTROY
DICTATE
DIE
DIG
DISAGREE
DISCOVER
DISCUSS
DIVIDE
DO
DRAIN
DRAW
DREAM
DRESS
DRINK
DRIVE
DROP
DUST
EAT
EMPTY
END
ENJOY
EXCUSE
EXERCISE
FADE
FAIL
FALL
FASTEN
FEAR
FEED
FEEL
FIGHT
FILL
FIND
FINISH
FISH
FIT
FIX
FLEE
FLY
FOLLOW
FORBID
FORGET
FORGIVE
FREEZE
FRY
GET
GIVE
GO
GRADE
GRATE
GRILL
GRIND
GROW
HAND IN
HAND OUT
HANG
HAPPEN
HATE
HAVE
HEAR
HELP
HIDE
HIT
HOLD
HURRY
HURT
IDENTIFY
IMAGINE
IMITATE
INCLUDE
INSPECT
INVITE
JOG
JUMP
KEEP
KICK
KILL
KISS
KNOW
LAND
LAUGH
LAY
LEAD
LEARN
LEAVE
LEND
LET
LICK
LIE
LIGHT
LIKE
LISTEN TO
LIVE
LOOK
LOSE
LOVE
LOWER
MAKE
MANAGE
MEAN
MEET
MEMORIZE
MEND
MIND
MISLAY
MISS
MISTAKE
MIX
MOP
MOVE
MULTIPLY
NAME
NEED
NOTICE
OCCUR
OFFER
OMIT
OPEN
ORDER
OVERCOME
PACK
PAINT
PARK
PASS
PAY
PEEL
PERMIT
PERSUADE
PICK UP
PLACE
PLAN
PLANT
PLAY
POLISH
PRACTICE
PREFER
PREPARE
PRINT
PROMISE
PRONOUNCE
PUBLISH
PULL
PUNISH
PUSH
PUT
QUIT
RAIN
REACH
READ
RECEIVE
RELAX
REMAIN
REMEMBER
REPAIR
REPEAT
REPRESENT
REST
RID
RIDE
RING
RISE
RUN
SAVE
SAY
SEE
SEEM
SELECT
SELL
SEND
SET
SEW
SHAKE
SHARE
SHARPEN
SHINE
SHOOT
SHOP
SHOUT
SHOW
SHRINK
SHUT
SIGH
SIGN
SING
SINK
SIT
SKATE
SLEEP
SLICE
SLIDE
SMELL
SMILE
SMOKE
SNEEZE
SOLVE
SOUND
SPEAK
SPEED
SPELL
SPEND
SPILL
SPIN
SPIT
SPLASH
SPLIT
SPOIL
SPREAD
SQUEEZE
STAND
START
STAY
STEAL
STINK
STIR
STOP
STRIKE
STRIVE
STUDY
SUBTRACT
SUCK
SUPPORT
SUPPOSE
SURROUND
SWEAR
SWEEP
SWIM
SWING
TAKE
TALK
TASTE
TEACH
TEAR
TELL
THINK
THROW
TRUST
TOUCH
TRANSLATE
TRAVEL
TRY
TURN
TYPE
UNDERLINE
UNDERSTAND
UNDERTAKE
UPSET
USE
VACUUM
VANISH
VISIT
WAIT FOR
WAKE
WALK
WANT
WARM
WASH
WATCH
WAVE
WEAR
WED
WEEP
WEIGH
WHISTLE
WIN
WISH
WITHDRAW
WONDER
WORK
WORRY
WRAP
WRING
WRITE
YAWN
ADDED
ADVANCED
APPEARED
AGREED
ANSWERED
ABSORBED
AROSE
ARRIVED
ASKED
ASSIGNED
ASSISTED
ATTACHED
ATTENDED
AWOKE
AWARDED
BAKED
BATHED
WAS - WERE
BORE
BEAT
BECAME
BEGAN
BELIEVED
BELONGED
BENT
BET
BID 
BOUND
BIT
BLED
BLEW
BLUSHED
BOILED
BORROWED
BOTHERED
BROKE
BRED
BROADCAST
BROWN
BRUSHED
BUILT
BURNED
BURST
BOUGHT
CALLED
CAMPED
CANCELLED
CARED
CARRIED
CAUGHT
CELEBRATED
CHANGED
CHARGED
CHECKED
CHEWED
CHILLED
CHOSE
CIRCLED
CLAPPED
CLEANED
CLIMBED
CLUNG
CLOSED
COLLECTED
CAME
COMMENTED
COMPLAINED
COMPLETED
CONTINUED
CONVINCED
COOKED
COOLED
COPIED
COST
COUNTED
COVERED
CROSSED
CRIED
CUT
DANCED
DEALT
DECIDED
DECLARED
DECORATED
